generation_index,individual_index,cap_post_loading,cap_post_conveyor,cap_post_washing,cap_pre_press1,cap_pre_press2,cap_post_press12,wip,throughput
5,14,1,1,2,1,3,4,14.117460317460317,26.797619047619047
5,15,1,1,2,1,1,8,12.14642857142857,26.66547619047619
5,16,2,1,4,1,1,9,14.832341269841269,26.603571428571428
5,17,1,1,4,1,1,5,13.952777777777778,26.56904761904762
5,18,5,9,10,9,5,9,43.910515873015875,27.502380952380953
5,19,2,1,4,9,5,8,27.053174603174604,27.42142857142857
5,20,6,4,2,7,3,4,28.235714285714284,27.44047619047619
5,21,2,1,4,9,5,8,27.053174603174604,27.42142857142857
5,22,2,1,4,9,5,8,27.053174603174604,27.42142857142857
5,23,2,1,4,9,5,8,27.053174603174604,27.42142857142857
5,24,1,2,2,6,2,3,19.17063492063492,27.257142857142856
5,25,5,1,1,3,2,8,18.264285714285712,27.239285714285714
5,26,2,1,4,3,4,8,19.589285714285715,27.336904761904762
5,27,2,1,4,9,5,8,27.053174603174604,27.42142857142857
5,28,2,2,4,5,3,8,22.12142857142857,27.37857142857143
5,29,2,1,3,1,3,9,16.007142857142856,27.02261904761905
5,30,1,1,2,1,4,7,15.205555555555556,26.870238095238097
5,31,1,3,2,6,3,2,21.21825396825397,27.37142857142857
5,32,5,9,10,9,5,9,43.910515873015875,27.502380952380953
5,33,1,2,2,1,3,8,15.27936507936508,26.90595238095238
5,34,1,1,2,6,4,7,20.01527777777778,27.366666666666667
5,35,2,1,2,6,5,7,22.38154761904762,27.389285714285716
5,36,1,2,2,3,2,5,16.207142857142856,27.22142857142857
5,37,1,1,4,1,1,5,13.952777777777778,26.56904761904762
5,38,2,1,4,3,4,8,19.589285714285715,27.336904761904762
5,39,2,1,2,4,10,2,25.07202380952381,27.397619047619045
5,40,4,7,2,9,6,9,33.903571428571425,27.42142857142857
5,41,1,1,4,1,1,9,14.086309523809524,26.48095238095238
5,42,1,2,2,1,3,3,15.215674603174604,26.779761904761905
5,43,3,2,2,1,4,8,18.267857142857142,27.06547619047619
5,44,4,1,1,6,2,2,20.215079365079365,27.26547619047619
5,45,4,1,2,5,3,2,21.218650793650795,27.37142857142857
5,46,3,9,1,6,4,5,29.292460317460318,27.41785714285714
5,47,3,1,2,4,10,1,25.910912698412698,27.378571428571426
5,48,2,1,3,1,1,8,14.165674603174603,26.54285714285714
5,49,4,1,2,1,2,7,16.024603174603175,26.904761904761905
6,0,6,3,2,7,4,7,28.17718253968254,27.507142857142856
6,1,1,3,3,3,9,5,25.117261904761904,27.504761904761903
6,2,4,1,1,6,2,3,20.206150793650792,27.41190476190476
6,3,1,1,2,1,3,7,14.199603174603174,26.951190476190476
6,4,6,3,2,7,4,7,28.17718253968254,27.507142857142856
6,5,1,1,2,1,3,4,14.117460317460317,26.797619047619047
6,6,1,1,2,1,1,8,12.14642857142857,26.66547619047619
6,7,1,1,2,1,3,7,14.199603174603174,26.951190476190476
6,8,1,4,2,2,3,9,18.174801587301587,27.39761904761905
6,9,1,2,2,3,2,4,16.179960317460317,27.34285714285714
6,10,1,1,2,1,3,7,14.199603174603174,26.951190476190476
6,11,1,1,2,2,2,5,14.227976190476191,27.28690476190476
6,12,4,1,1,3,2,8,17.232738095238094,27.395238095238096
6,13,2,4,1,4,2,2,19.226785714285715,27.379761904761907
6,14,1,1,2,6,2,3,18.190873015873017,27.270238095238096
6,15,1,2,2,2,2,5,15.074801587301588,27.198809523809523
6,16,2,2,2,2,2,5,16.088293650793652,27.24404761904762
6,17,1,2,2,2,2,5,15.074801587301588,27.198809523809523
6,18,2,2,2,2,2,5,16.088293650793652,27.24404761904762
6,19,1,1,1,1,4,9,14.330357142857142,26.983333333333334
6,20,2,4,1,4,2,2,19.226785714285715,27.379761904761907
6,21,1,4,3,2,3,4,18.933531746031747,27.292857142857144
6,22,1,1,4,1,1,5,13.952777777777778,26.56904761904762
6,23,5,9,10,9,5,9,43.910515873015875,27.502380952380953
6,24,6,4,2,7,3,4,28.235714285714284,27.44047619047619
6,25,5,9,10,9,5,9,43.910515873015875,27.502380952380953
6,26,1,1,4,1,1,5,13.952777777777778,26.56904761904762
6,27,4,1,2,5,3,9,21.216269841269842,27.402380952380952
6,28,1,1,4,1,1,5,13.952777777777778,26.56904761904762
6,29,1,2,4,9,5,8,27.052777777777777,27.42142857142857
