generation,individual_index,post_loading_buffer_capacity,post_conveyor_buffer_capacity,post_washing_buffer_capacity,pre_press1_buffer_capacity,pre_press2_buffer_capacity,post_press12_buffer_capacity,throughput,energy consumption per part
6,46,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
6,47,5,2,7,4,4,3,27.422619047619047,0.4515639092941181
6,48,1,7,6,4,4,8,27.436904761904763,0.45183399253144424
6,49,7,3,9,9,6,3,27.433333333333334,0.4524516436760464
7,0,9,1,8,6,3,8,27.395238095238096,0.4491771829501502
7,1,9,1,1,4,4,8,27.517857142857142,0.449663254788134
7,2,9,1,8,6,3,8,27.395238095238096,0.4491771829501502
7,3,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
7,4,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
7,5,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,6,9,3,1,4,6,2,27.475,0.45052774496498316
7,7,9,3,1,4,6,2,27.475,0.45052774496498316
7,8,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,9,10,2,8,3,2,1,27.446428571428573,0.45030408612910666
7,10,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
7,11,7,4,10,5,3,4,27.51547619047619,0.4506600303041229
7,12,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,13,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,14,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,15,9,3,1,4,6,2,27.475,0.45052774496498316
7,16,1,2,8,3,2,3,27.432142857142857,0.44977849706077655
7,17,9,1,7,5,3,6,27.420238095238094,0.45006710619046847
7,18,7,4,8,4,6,8,27.43095238095238,0.4503889371752456
7,19,1,6,5,9,4,8,27.457142857142856,0.45058931546440634
7,20,7,1,6,8,4,7,27.457142857142856,0.4506006759099803
7,21,5,3,6,9,6,6,27.420238095238094,0.4502015577245734
7,22,1,6,6,8,4,8,27.457142857142856,0.4506006759099803
7,23,8,1,6,6,4,8,27.457142857142856,0.4506006759099803
7,24,6,1,8,5,7,8,27.420238095238094,0.45022105431093606
7,25,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
7,26,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
7,27,3,1,1,3,6,4,27.447619047619046,0.4506109899737713
7,28,3,1,1,3,6,4,27.447619047619046,0.4506109899737713
7,29,7,1,7,6,4,8,27.457142857142856,0.45061503767385896
7,30,3,1,2,2,6,4,27.414285714285715,0.45031958265735955
7,31,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
7,32,2,1,6,4,4,8,27.45,0.45111750565894565
7,33,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
7,34,2,1,6,4,4,8,27.45,0.45111750565894565
7,35,1,6,7,5,4,8,27.41904761904762,0.4503593229420705
7,36,7,1,7,5,4,7,27.41904761904762,0.4503593229420705
7,37,7,4,6,4,4,8,27.429761904761904,0.45071483936645856
7,38,1,9,1,4,3,6,27.425,0.4510362466029946
7,39,2,1,6,4,6,6,27.44642857142857,0.45117749972029947
7,40,7,1,10,5,4,4,27.41904761904762,0.4503608861770597
7,41,1,1,9,9,6,4,27.42142857142857,0.4507481049938135
7,42,2,1,6,4,6,6,27.44642857142857,0.45117749972029947
7,43,1,1,9,9,6,4,27.42142857142857,0.4507481049938135
7,44,6,3,8,4,6,8,27.401190476190475,0.45042546607610084
7,45,5,6,6,8,4,8,27.442857142857143,0.4522045260141213
7,46,5,6,6,8,4,8,27.442857142857143,0.4522045260141213
7,47,6,3,8,5,7,1,27.42142857142857,0.4507756864187453
7,48,4,1,7,4,4,5,27.422619047619047,0.4515638061758557
